"id","groupId","resourceType","resourceId","archived"
"26330952","20001387","3","6147617","1"
"26331051","19516508","3","7830991","1"
"26363161","19759593","3","8137223","1"
"26367011","19701305","3","8129587","1"
"26368995","19949562","3","8095351","1"
"26371468","19701919","3","6151146","1"
"26371526","20070107","3","6147910","1"
"26371576","19851738","3","8148983","1"
"26371721","20075507","3","6141892","1"
"26391356","19778733","3","6148059","1"
"26391566","19962112","3","8163855","1"
"26393624","19963443","3","6145281","1"
"26394610","20053380","3","6150292","1"
"26395808","19946500","3","6140946","1"
"26396988","19877303","3","6147895","1"
"26404469","19970238","3","6146633","1"
"26407366","20009971","3","6145093","1"
"26411485","20080401","3","8194678","1"
"26412679","19365546","3","8085295","1"
"26412735","20005965","3","6141850","1"
"26414778","19502728","3","6147370","1"
"26415192","19652707","3","8123444","1"
"26415573","19593813","3","8115611","1"
"26416272","20110552","3","6141757","1"
"26416410","19567490","3","7778344","1"
"26416697","19798217","3","6151120","1"
"26448183","19790239","3","6149768","1"
"26448548","19853263","3","6149767","1"
"26459637","19267720","3","8067381","1"
"26461176","19895529","3","6141297","1"
"26461331","20053382","3","6150292","1"
"26470079","19666181","3","6143322","1"
"26471435","20082648","3","7789891","1"
"26475138","19758364","3","6142448","1"
"26477688","19878076","3","8152083","1"
"26479204","19897982","3","8133804","1"
"26494441","20036572","3","7791634","1"
"26494489","20151696","3","8068267","1"
"26498395","20152687","3","6150292","1"
"26505191","18841632","3","6144556","1"
"26507380","20045331","3","6143123","1"
"26513388","19804170","3","8142808","1"
"26514404","19736002","3","6145458","1"
"26514794","20019734","3","8185612","1"
"26516688","20151101","3","8201290","1"
"26517583","20101413","3","6145870","1"
"26518697","19861705","3","6146762","1"
"26553330","19929612","3","6151006","1"
"26553665","20007791","3","6145066","1"
"26558587","20194462","3","6140942","1"
"26559442","19971590","3","8164393","1"
"26561683","20194423","3","6141017","1"
"26563064","20112316","3","8199672","1"
"26573102","20022540","3","8186097","1"
"26574882","20039894","3","8024113","1"
